AAL-close,AAPL-close,AAP-close,ABBV-close,ABC-close,ABT-close,ACN-close,ADBE-close,ADI-close,ADM-close,ADP-close,ADSK-close,ADS-close,AEE-close,AEP-close,AES-close,AET-close,AFL-close,AGN-close,AIG-close,AIV-close,AIZ-close,AJG-close,AKAM-close,ALB-close,ALGN-close,ALK-close,ALL-close,ALXN-close,AMAT-close
16.92,62.5142,82.69,43.59,54.81,36.83,80.41,43.12,45.02,33.12,68.11,35.33,177.42,33.83,45.36,12.31,61.78,56.41,125.09,44.92,28.88,50.05,43.78,43.84,62.84,34.77,28.135,47.25,93.03,15.19
16.88,61.7414,82.35,42.77,54.75,36.44,79.71,42.72,44.15,32.89,67.33,34.93,178.57,33.18,45.2,12.18,61.37,56.08,123.79,44.66,28.25,50.08,43.48,42.52,61.88,34.22,28.2,47.02,91.35,15.25
17.01,62.2807,82.75,43.15,54.56,36.7,81.08,43.3,45.1,33.39,68.28,35.88,180.35,33.89,45.92,12.39,61.59,57.46,126.46,45.94,29.16,50.86,44.37,42.64,63.36,34.67,28.465,47.41,93.41,15.6
16.93,61.4357,82.48,43.21,54.93,36.81,80.55,42.84,44.95,33.08,68.01,35.09,177.79,34.1,45.51,12.36,60.53,57.51,126.45,45.38,28.93,50.56,44.35,42.56,62.98,35.02,28.01,46.87,92.22,15.41
16.95,61.7142,82.48,43.01,55.66,36.89,82.45,43.39,45.95,33.27,68.7,35.43,178.82,34.19,45.57,12.25,61.49,57.58,124.94,45.15,28.81,51.35,44.85,42.94,63.3,35.87,27.665,47.42,91.32,15.78
17.22,61.6814,83.69,43.54,55.86,37.51,82.93,43.36,46.66,33.83,69.6,35.13,179.84,34.56,45.9,12.17,62.65,57.77,125.67,45.14,28.88,51.82,45.36,42.84,63.99,36.25,28.14,47.67,92.39,15.97
17.06,60.4285,84.07,43.04,55.56,36.21,81.83,45.78,46.04,33.26,69.04,35.505,178.73,33.73,44.79,11.68,61.82,57.34,123.71,44.81,28.14,51.03,43.85,42.56,63.4,36.1,27.415,47.05,91.09,15.7
16.73,59.5482,82.88,41.06,54.14,35.17,79.52,44.895,44.67,32.61,68.2,34.56,173.09,32.68,43.19,11.43,60.82,56.95,120.22,44.27,27.56,50.22,42.7,41.25,62.25,35.48,26.78,46.57,88.47,15.07
16.34,59.0714,80.74,42.62,54.34,35.58,79.4,44.77,45.16,33.09,68.68,34.21,172.63,33.17,43.78,11.48,61.79,56.66,121.52,43.69,27.89,50.24,43.1,40.75,61.97,35.84,26.075,47.23,88.492,15.075
16.13,57.5057,80.22,41.89,53.61,34.97,79.16,43.6,44.03,32.93,68.38,33.48,172.16,32.79,43.57,11.41,62.16,55.68,120.22,42.32,28.07,49.4,42.68,41.41,61.23,35.77,25.48,46.6,87.99,14.98
16.46,57.5185,81.39,42.63,53.55,35.11,79.66,44.37,44.52,33.17,68.84,34.04,174.1,33.41,43.91,11.67,62.16,56.82,121.54,43.35,28.92,49.82,42.96,41.91,62.21,35.41,25.595,46.88,88.38,15.27
16.17,56.8671,79.75,43.38,55.04,35.6,79.56,45.68,45.07,33.58,69.35,34.64,178.36,33.84,44.6,11.91,62.96,57.26,123.29,43.62,29.42,50.26,43.19,42.76,62.66,35.78,25.21,47.76,92.75,14.965
16.31,56.2542,80.02,43.13,55.31,35.36,80.22,45.93,45.37,33.71,69.37,34.92,180.07,34.38,44.48,11.96,63.59,58.2,125.86,44.48,29.98,50.91,43.87,42.69,62.75,36.69,26.045,48.3,93.79,14.91
16.42,56.6471,81.17,41.34,55.83,34.88,71.96,45.56,45.06,33.91,68.86,33.94,181.03,34.44,44.78,11.99,63.54,58.12,126.22,44.7,30.04,50.91,43.69,42.55,62.29,37.04,26,48.12,92.24,14.92
16.8,58.4599,81.89,41.61,55.01,35.03,72.1,46.235,45.37,34.35,69.45,33.8,180.19,33.95,44.47,11.9,63.35,57.67,125.44,45.09,29.96,51.51,44.25,42.97,63.03,37.79,26.425,48.69,95.86,14.815
16.43,59.7842,81.47,42.21,54.83,34.86,72.12,46.03,45.31,34.87,70.08,33.49,179.51,34.07,44.48,11.81,62.43,56.79,123.83,44.89,30.27,51.31,44.11,42.55,63.04,37.3,25.975,48.52,95.35,14.82
16.75,60.1142,81.99,42.23,55.09,34.25,72.68,46.42,45.68,34.81,70.24,33.49,180.09,33.89,44.46,11.83,62.13,56.6,123.99,44.22,29.99,50.43,43.98,42.69,62.85,37.78,25.91,48.47,96.04,15
16.84,59.6314,82.58,42.72,55.56,34.92,73.64,47,46.21,34.88,70.75,34.16,182.32,33.66,44.28,11.86,62.58,57.16,126.37,45.19,29.9,50.95,44.31,43.03,63.67,38.39,26.14,49.13,96.45,15.22
16.94,59.2928,83.72,43.68,56.28,35.41,74.47,46.625,45.76,35.36,70.97,34.38,183.86,34.3,44.57,11.92,63.26,58.02,126.49,45.52,29.87,51.78,44.54,43.03,63.37,38.42,25.975,50.07,94.34,15.14
17.36,60.3357,83.2,43.32,55.91,34.74,74.1,47.26,46.26,35.72,71.04,34.39,183.78,34.36,44.57,12.03,63.29,58.52,125.71,45.78,30.43,52.41,44.49,43.56,64.69,38.88,27.965,50.55,95.73,15.66
17.17,60.1042,82.75,43.91,56.55,34.74,74.35,47.25,46.73,35.9,71.75,34.31,182.72,34.8,45.42,12.26,64.05,58.5,124.07,45.72,30.43,52.3,44.62,43.52,65.21,39.19,28.77,50.3,100.12,16.3
17.37,61.0411,82.76,43.78,58.1,35.37,75.2,47.99,48,36.19,71.85,35.4,187.61,35.3,46.24,12.53,64.04,59.25,125,45.92,31.22,52.51,45.33,44.5,65.06,39.4,29.78,50.38,101.44,16.49
17.56,60.9299,82.67,45.05,58.39,35.32,75.52,48.39,48.35,36.31,73.41,36.01,190.51,35.49,46.55,12.6,63.5,59.14,126.18,46.74,30.89,53.09,45.53,44.92,64.8,39.2,30.535,51.11,114.26,16.66
